Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Forest area (sq. km),AG.LND.FRST.K2,United States,USA,3035360,3040544,3045728,3050912,3056096,3061280,3066464,3071648,3076832,3082016,3087200,3089950,3092700,3095450,3098200,3100950,3100950,3097950,3097950,3097950,3097950,3097950,3097950,..
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,United States,USA,28.9708122893347,29.1798510493047,29.613641991169,30.3776504657994,31.4804609380234,32.5090310300877,34.2706665180867,35.8769290973872,36.8879903031261,36.9353735212183,39.0233919871029,39.1459109658092,39.5642300551447,39.9257452256781,40.456371559817,41.1682697378852,41.9173064287573,42.9474755004604,44.2215145382605,45.3641212322931,44.3828820715392,47.0702890741822,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,United States,USA,8056.86384994775,7827.88632537183,7843.34484914192,7794.23553026383,7881.57864206405,7846.49968849973,7697.65253500041,7758.16598577052,7488.08192070473,7056.78365282718,7161.42655156518,7029.95460147645,6872.02728367462,6905.59863316056,6960.68399657951,6803.99660728499,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,United States,USA,13671.0520240061,13046.6141478464,13296.1822993023,13307.4920085002,13388.5897105591,13704.5770481407,13583.2669593387,13657.4528282523,13663.4279681827,12913.7146883015,13394.9027551068,13245.8819278677,12964.1879389302,13004.0235689845,12993.9655794706,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,10250952000000,10581929000000,10929108000000,11456450000000,12217196000000,13039197000000,13815583000000,14474228000000,14769862000000,14478067000000,15048971000000,15599732000000,16253970000000,16880683000000,17608138000000,18295019000000,18804913000000,19612102000000,20656516000000,21539982000000,21354105000000,23681171000000,26006893000000,27720709000000
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,4.07758575804293,0.955538346430316,1.70044732363073,2.795605965883,3.84777169205226,3.483549937943,2.78453963938148,2.00385829825838,0.113587248258867,-2.57650023426996,2.6951925838264,1.56440685438301,2.28911338767897,2.11783009919849,2.52381981441982,2.94555045455233,1.81945147474293,2.45762230322211,2.96650506916633,2.58382533018855,-2.16302913866514,6.05505293304576,2.51237531983308,2.88755600906016
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,United States,USA,2.26519517669861,2.25168991597403,1.55399465961345,1.9743147047601,2.68908760322005,3.13545455674655,3.08383673352866,2.70925848658695,1.92670969899538,0.61678071512577,1.21528668186946,2.06310947543149,1.8621649281277,1.70188036067233,1.74161805258845,0.928042794757729,0.950322479212474,1.79080328489228,2.29089027694276,1.65046566913496,1.32883273821459,4.56598550261971,7.12948085421044,3.59839135378053
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,United States,USA,1.1505549143143,1.12925705700728,0.973712301131986,1.1210468251509,1.26548334003973,1.15050675283148,1.00948747512139,1.07512389607238,1.05300030562235,0.960285754997542,1.02943688973818,1.20055880447177,1.14932980065793,1.31815003575389,1.16824049198161,1.02890409132672,0.937140437714336,0.940362226343714,0.898498260790929,0.83262086291437,0.935800226701142,0.944732585225621,..,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,United States,USA,22.4515773169165,21.4690060196019,20.6524748771812,20.7394622854375,20.9500317503296,21.2062733847798,21.5869679549535,21.4238805413318,20.7935016115926,19.2684745484325,19.3102488269796,19.4074975198292,19.1626139460083,19.1988903588794,19.2684337605714,18.4967127664639,17.9368724917791,18.3087442284361,18.5195461519261,18.1454838448797,17.2676773903659,17.6081720747678,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United States,USA,10.6927727297913,9.70344820873397,9.13138565379718,9.03565240541354,9.62874787307988,9.98205641037558,10.641389509223,11.4637892950146,12.4258439246081,10.9322190593537,12.3413554322086,13.5634637825829,13.6440512687054,13.5534918818154,13.5082142132235,12.4111486301271,11.8881592273253,12.177481026766,12.2871107596266,11.7891974097286,10.0736556273372,10.7909781995156,11.6022279170372,11.0115112856601
